left, right, top, bottom
12.64, 13.27, 12.49, 13.12
12.57, 13.38, 12.35, 13.17
12.45, 13.47, 12.26, 13.26
12.40, 13.55, 12.19, 13.30
12.32, 13.61, 12.12, 13.37 
