left, right, top, bottom
12.89, 13.65, 14.49, 15.33
12.84, 13.78, 14.36, 15.41
12.78, 13.80, 14.28, 15.48
12.73, 13.87, 14.23, 15.57
12.69, 13.92, 14.17, 15.64
