left, right, top, bottom
13.13, 13.89, 14.75, 15.53
13.05, 13.98, 14.67, 15.66
12.97, 14.06, 14.56, 15.74
12.85, 14.11, 14.49, 15.80
12.77, 14.16, 14.43, 15.87
