V_CE,I_C
0.004,0.00
0.057,2.05
0.106,7.13
0.177,13.84
0.327,17.01
0.529,18.73
0.823,20.32
1.191,20.95
1.958,21.80
3.205,23.09
5.66,25.96
9.68,29.76
