V_DS,I_DS
-1.053,5.53
-2.009,7.15
-3.55,7.87
-4.04,8.27
-5.08,8.59
-6.02,8.79
-7.03,9.00
-8.08,9.16
-9.02,9.30
-10.01,9.42
-11.01,9.52
-12.07,9.59
-13.04,9.79
