V_DS,I_D
0.030,0.02
0.225,0.10
0.300,0.12
0.370,0.14
0.540,0.17
0.661,0.19
0.781,0.21
0.904,0.22
1.010,0.24
1.320,0.27
1.892,0.31
2.513,0.35
3.018,0.38
3.507,0.40
3.998,0.42
4.515,0.45
5.083,0.47
5.516,0.49
6.065,0.51
6.490,0.51
