Current,Reading
2.80,19.72
2.65,19.66
2.50,19.60
2.35,19.53
2.20,19.43
2.00,19.30
1.90,19.24
1.75,19.15
1.60,19.03
1.45,18.87
1.30,18.68
1.15,18.64
1.00,18.40
0.85,18.05
0.70,17.83
0.54,17.59
0.40,17.43
0.25,17.37
0.00,17.29
