Current,Reading
0.00,16.82
0.15,16.93
0.30,17.08
0.45,17.29
0.60,17.65
0.75,18.09
0.90,18.60
1.05,19.17
1.20,19.82
1.35,20.40
1.50,20.71
1.65,21.16
1.80,21.75
2.00,22.07
2.20,22.32
2.40,23.55
2.60,24.65
