Voltage (V),Current (A),Left Reading (cm),Right Reading (cm)
200,1,4.8,15.3
180,1,5.3,15.0
160,1,5.2,14.7
140,1,5.5,14.5
120,1,5.8,14.1
100,1,6.3,13.8
