V_DS ,I_DS
-0.998,1.01
-2.032,1.30
-3.141,1.51
-4.15,1.65
-5.03,1.76
-6.03,1.88
-7.12,2.00
-8.01,2.09
-9.54,2.19
-10.00,2.27
-11.10,2.37
-12.04,2.46
