V_DS,I_D
0.101,0.64
0.159,0.99
0.211,1.29
0.245,1.47
0.322,1.85
0.331,1.90
0.369,2.07
0.430,2.34
0.475,2.52
0.557,2.83
0.581,2.92
0.644,3.18
0.663,3.18
0.775,3.50
0.794,3.55
0.920,3.84
1.312,4.45
1.707,4.83
2.198,5.13
2.697,5.35
3.250,5.53
3.981,5.73
4.599,5.86
5.237,5.99
6.003,6.12
6.492,6.19
7.010,6.27
7.510,6.34
8.010,6.40
